Date,FIPS,County,State,Vaccination_Complete_Pct,candidate,party,total_votes,won,lat,long
09/30/2021,30055,McCone County,MT,16.2,Donald Trump,REP,956,True,47.64521208510208,-105.79542537969031
09/30/2021,30055,McCone County,MT,16.2,Joe Biden,DEM,155,False,47.64521208510208,-105.79542537969031
09/30/2021,54043,Lincoln County,WV,16.4,Donald Trump,REP,6012,True,38.17534900782263,-82.07039115796006
09/30/2021,54043,Lincoln County,WV,16.4,Joe Biden,DEM,1711,False,38.17534900782263,-82.07039115796006
09/30/2021,26049,Genesee County,MI,42.9,Joe Biden,DEM,119390,True,43.02172072778064,-83.70670934605141
09/30/2021,26049,Genesee County,MI,42.9,Donald Trump,REP,98714,False,43.02172072778064,-83.70670934605141
09/30/2021,38029,Emmons County,ND,29.2,Donald Trump,REP,1738,True,46.28504329131061,-100.2387716892313
09/30/2021,38029,Emmons County,ND,29.2,Joe Biden,DEM,237,False,46.28504329131061,-100.2387716892313
09/30/2021,35013,Dona Ana County,NM,53.4,Joe Biden,DEM,47957,True,32.35264734068167,-106.8327815018138
09/30/2021,35013,Dona Ana County,NM,53.4,Donald Trump,REP,32802,False,32.35264734068167,-106.8327815018138
09/30/2021,39061,Hamilton County,OH,54.1,Joe Biden,DEM,246266,True,39.19554056774955,-84.54277112809818
09/30/2021,39061,Hamilton County,OH,54.1,Donald Trump,REP,177886,False,39.19554056774955,-84.54277112809818
09/30/2021,21213,Simpson County,KY,45.9,Donald Trump,REP,5888,True,36.74195035731288,-86.58224359116493
09/30/2021,21213,Simpson County,KY,45.9,Joe Biden,DEM,2681,False,36.74195035731288,-86.58224359116493
09/30/2021,18005,Bartholomew County,IN,52.5,Donald Trump,REP,22410,True,39.20595128349802,-85.89759073009328
09/30/2021,18005,Bartholomew County,IN,52.5,Joe Biden,DEM,12934,False,39.20595128349802,-85.89759073009328
09/30/2021,29041,Chariton County,MO,33.2,Donald Trump,REP,3111,True,39.5150912078637,-92.96263864445392
09/30/2021,29041,Chariton County,MO,33.2,Joe Biden,DEM,916,False,39.5150912078637,-92.96263864445392
09/30/2021,47129,Morgan County,TN,43.4,Donald Trump,REP,6930,True,36.13500745088864,-84.64919797615337
09/30/2021,47129,Morgan County,TN,43.4,Joe Biden,DEM,1167,False,36.13500745088864,-84.64919797615337
09/30/2021,37035,Catawba County,NC,46.5,Donald Trump,REP,56588,True,35.66204222987132,-81.21507007166126
09/30/2021,37035,Catawba County,NC,46.5,Joe Biden,DEM,25689,False,35.66204222987132,-81.21507007166126
09/30/2021,19005,Allamakee County,IA,47.0,Donald Trump,REP,4735,True,43.28428239914959,-91.378053325693
09/30/2021,19005,Allamakee County,IA,47.0,Joe Biden,DEM,2576,False,43.28428239914959,-91.378053325693
09/30/2021,19067,Floyd County,IA,47.6,Donald Trump,REP,4732,True,43.0599326464129,-92.78900648463858
09/30/2021,19067,Floyd County,IA,47.6,Joe Biden,DEM,3172,False,43.0599326464129,-92.78900648463858
09/30/2021,37025,Cabarrus County,NC,45.9,Donald Trump,REP,63237,True,35.38678658670812,-80.55186546381165
09/30/2021,37025,Cabarrus County,NC,45.9,Joe Biden,DEM,52162,False,35.38678658670812,-80.55186546381165
09/30/2021,17001,Adams County,IL,44.5,Donald Trump,REP,24220,True,39.98787833459664,-91.18855698686085
09/30/2021,17001,Adams County,IL,44.5,Joe Biden,DEM,8633,False,39.98787833459664,-91.18855698686085
09/30/2021,19047,Crawford County,IA,47.2,Donald Trump,REP,4854,True,42.03720374512621,-95.38198703127549
09/30/2021,19047,Crawford County,IA,47.2,Joe Biden,DEM,2220,False,42.03720374512621,-95.38198703127549
09/30/2021,13137,Habersham County,GA,17.2,Donald Trump,REP,16637,True,34.63102796897801,-83.53112369360295
09/30/2021,13137,Habersham County,GA,17.2,Joe Biden,DEM,3562,False,34.63102796897801,-83.53112369360295
09/30/2021,28055,Issaquena County,MS,32.0,Joe Biden,DEM,355,True,32.741409331119364,-90.98918634845204
09/30/2021,28055,Issaquena County,MS,32.0,Donald Trump,REP,308,False,32.741409331119364,-90.98918634845204
09/30/2021,31169,Thayer County,NE,41.0,Donald Trump,REP,2308,True,40.17623966489828,-97.5949502303654
09/30/2021,31169,Thayer County,NE,41.0,Joe Biden,DEM,624,False,40.17623966489828,-97.5949502303654
09/30/2021,51620,Franklin city,VA,36.6,Joe Biden,DEM,2525,True,36.68308444991232,-76.93861442912271
09/30/2021,51620,Franklin city,VA,36.6,Donald Trump,REP,1487,False,36.68308444991232,-76.93861442912271
09/30/2021,18179,Wells County,IN,37.6,Donald Trump,REP,10855,True,40.72918907332118,-85.22119400261002
09/30/2021,18179,Wells County,IN,37.6,Joe Biden,DEM,2928,False,40.72918907332118,-85.22119400261002
09/30/2021,13067,Cobb County,GA,37.3,Joe Biden,DEM,221847,True,33.941481403689004,-84.57669231618759
09/30/2021,13067,Cobb County,GA,37.3,Donald Trump,REP,165436,False,33.941481403689004,-84.57669231618759
09/30/2021,12035,Flagler County,FL,56.1,Donald Trump,REP,43043,True,29.461424845918263,-81.31356839145538
09/30/2021,12035,Flagler County,FL,56.1,Joe Biden,DEM,28161,False,29.461424845918263,-81.31356839145538
09/30/2021,16005,Bannock County,ID,40.3,Donald Trump,REP,23331,True,42.66848736883945,-112.2246106315902
09/30/2021,16005,Bannock County,ID,40.3,Joe Biden,DEM,14682,False,42.66848736883945,-112.2246106315902
09/30/2021,29071,Franklin County,MO,48.3,Donald Trump,REP,38058,True,38.41111999690784,-91.0750308054533
09/30/2021,29071,Franklin County,MO,48.3,Joe Biden,DEM,14569,False,38.41111999690784,-91.0750308054533
09/30/2021,31057,Dundy County,NE,33.1,Donald Trump,REP,883,True,40.17620051868395,-101.68794739598594
09/30/2021,31057,Dundy County,NE,33.1,Joe Biden,DEM,105,False,40.17620051868395,-101.68794739598594
09/30/2021,29031,Cape Girardeau County,MO,41.8,Donald Trump,REP,28907,True,37.38402568640728,-89.68446694179315
09/30/2021,29031,Cape Girardeau County,MO,41.8,Joe Biden,DEM,10760,False,37.38402568640728,-89.68446694179315
09/30/2021,38065,Oliver County,ND,21.7,Donald Trump,REP,918,True,47.11528606500725,-101.34038110013525
09/30/2021,38065,Oliver County,ND,21.7,Joe Biden,DEM,129,False,47.11528606500725,-101.34038110013525
09/30/2021,27113,Pennington County,MN,43.9,Donald Trump,REP,4532,True,48.06623220783754,-96.03669990648172
09/30/2021,27113,Pennington County,MN,43.9,Joe Biden,DEM,2568,False,48.06623220783754,-96.03669990648172
09/30/2021,40133,Seminole County,OK,44.8,Donald Trump,REP,6011,True,35.16748504370781,-96.61552018837044
09/30/2021,40133,Seminole County,OK,44.8,Joe Biden,DEM,2150,False,35.16748504370781,-96.61552018837044
09/30/2021,20077,Harper County,KS,40.9,Donald Trump,REP,2128,True,37.19162258456055,-98.0754831271809
09/30/2021,20077,Harper County,KS,40.9,Joe Biden,DEM,453,False,37.19162258456055,-98.0754831271809
09/30/2021,56033,Sheridan County,WY,43.3,Donald Trump,REP,11843,True,44.78997491384754,-106.87926852284484
09/30/2021,56033,Sheridan County,WY,43.3,Joe Biden,DEM,4043,False,44.78997491384754,-106.87926852284484
09/30/2021,37153,Richmond County,NC,39.9,Donald Trump,REP,11830,True,35.00593921820018,-79.7478483233941
09/30/2021,37153,Richmond County,NC,39.9,Joe Biden,DEM,8754,False,35.00593921820018,-79.7478483233941
09/30/2021,28155,Webster County,MS,42.2,Donald Trump,REP,4291,True,33.613100829452776,-89.28480254308549
09/30/2021,28155,Webster County,MS,42.2,Joe Biden,DEM,1043,False,33.613100829452776,-89.28480254308549
09/30/2021,35001,Bernalillo County,NM,53.7,Joe Biden,DEM,193757,True,35.051341272308875,-106.67016462788452
09/30/2021,35001,Bernalillo County,NM,53.7,Donald Trump,REP,116135,False,35.051341272308875,-106.67016462788452
09/30/2021,54075,Pocahontas County,WV,23.7,Donald Trump,REP,2895,True,38.331798617393865,-80.0077819962417
09/30/2021,54075,Pocahontas County,WV,23.7,Joe Biden,DEM,1047,False,38.331798617393865,-80.0077819962417
09/30/2021,37177,Tyrrell County,NC,39.8,Donald Trump,REP,1044,True,35.81720597863042,-76.20895098388705
09/30/2021,37177,Tyrrell County,NC,39.8,Joe Biden,DEM,758,False,35.81720597863042,-76.20895098388705
09/30/2021,13229,Pierce County,GA,23.3,Donald Trump,REP,7898,True,31.35876960686481,-82.21276281112966
09/30/2021,13229,Pierce County,GA,23.3,Joe Biden,DEM,1100,False,31.35876960686481,-82.21276281112966
09/30/2021,47041,DeKalb County,TN,34.3,Donald Trump,REP,6672,True,35.97985395094254,-85.83277649437524
09/30/2021,47041,DeKalb County,TN,34.3,Joe Biden,DEM,1750,False,35.97985395094254,-85.83277649437524
09/30/2021,22035,East Carroll Parish,LA,38.6,Joe Biden,DEM,1900,True,32.73255145491493,-91.23505403065262
09/30/2021,22035,East Carroll Parish,LA,38.6,Donald Trump,REP,1080,False,32.73255145491493,-91.23505403065262
09/30/2021,40069,Johnston County,OK,35.2,Donald Trump,REP,3441,True,34.316476808330684,-96.66066894263734
09/30/2021,40069,Johnston County,OK,35.2,Joe Biden,DEM,738,False,34.316476808330684,-96.66066894263734
09/30/2021,51800,Suffolk city,VA,43.7,Joe Biden,DEM,28676,True,36.695318122407954,-76.63983900498263
09/30/2021,51800,Suffolk city,VA,43.7,Donald Trump,REP,20082,False,36.695318122407954,-76.63983900498263
09/30/2021,45043,Georgetown County,SC,48.1,Donald Trump,REP,20487,True,33.43429813424719,-79.33230240842632
09/30/2021,45043,Georgetown County,SC,48.1,Joe Biden,DEM,15822,False,33.43429813424719,-79.33230240842632
09/30/2021,5033,Crawford County,AR,39.4,Donald Trump,REP,18607,True,35.58908630761966,-94.24282113342362
09/30/2021,5033,Crawford County,AR,39.4,Joe Biden,DEM,4959,False,35.58908630761966,-94.24282113342362
09/30/2021,31081,Hamilton County,NE,39.7,Donald Trump,REP,4309,True,40.87302316716448,-98.02286284673283
09/30/2021,31081,Hamilton County,NE,39.7,Joe Biden,DEM,1118,False,40.87302316716448,-98.02286284673283
09/30/2021,27033,Cottonwood County,MN,48.0,Donald Trump,REP,4165,True,44.00712525823347,-95.18119514634762
09/30/2021,27033,Cottonwood County,MN,48.0,Joe Biden,DEM,1834,False,44.00712525823347,-95.18119514634762
09/30/2021,24035,Queen Anne's County,MD,58.6,Donald Trump,REP,18741,True,39.06801418233741,-76.02027633327394
09/30/2021,24035,Queen Anne's County,MD,58.6,Joe Biden,DEM,10709,False,39.06801418233741,-76.02027633327394
09/30/2021,28111,Perry County,MS,31.3,Donald Trump,REP,4500,True,31.17202413675867,-88.99233715525442
09/30/2021,28111,Perry County,MS,31.3,Joe Biden,DEM,1362,False,31.17202413675867,-88.99233715525442
09/30/2021,35033,Mora County,NM,44.7,Joe Biden,DEM,1745,True,36.01039817368948,-104.9448168772696
09/30/2021,35033,Mora County,NM,44.7,Donald Trump,REP,903,False,36.01039817368948,-104.9448168772696
09/30/2021,36025,Delaware County,NY,50.7,Donald Trump,REP,13387,True,42.19806703499144,-74.96646739607937
09/30/2021,36025,Delaware County,NY,50.7,Joe Biden,DEM,9143,False,42.19806703499144,-74.96646739607937
09/30/2021,46067,Hutchinson County,SD,38.3,Donald Trump,REP,2944,True,43.33486552474432,-97.75442346871816
09/30/2021,46067,Hutchinson County,SD,38.3,Joe Biden,DEM,762,False,43.33486552474432,-97.75442346871816
09/30/2021,13283,Treutlen County,GA,13.9,Donald Trump,REP,2101,True,32.403874795903945,-82.56728819880553
09/30/2021,13283,Treutlen County,GA,13.9,Joe Biden,DEM,952,False,32.403874795903945,-82.56728819880553
09/30/2021,39029,Columbiana County,OH,42.7,Donald Trump,REP,35726,True,40.768425136722605,-80.77719635775082
09/30/2021,39029,Columbiana County,OH,42.7,Joe Biden,DEM,13359,False,40.768425136722605,-80.77719635775082
09/30/2021,17163,St. Clair County,IL,48.9,Joe Biden,DEM,68325,True,38.47033002908368,-89.92838112467138
09/30/2021,17163,St. Clair County,IL,48.9,Donald Trump,REP,57150,False,38.47033002908368,-89.92838112467138
09/30/2021,51053,Dinwiddie County,VA,43.0,Donald Trump,REP,8695,True,37.07593861422707,-77.63226901458785
09/30/2021,51053,Dinwiddie County,VA,43.0,Joe Biden,DEM,6224,False,37.07593861422707,-77.63226901458785
09/30/2021,27011,Big Stone County,MN,57.2,Donald Trump,REP,1863,True,45.42610194671305,-96.41094242158476
09/30/2021,27011,Big Stone County,MN,57.2,Joe Biden,DEM,1053,False,45.42610194671305,-96.41094242158476
09/30/2021,40139,Texas County,OK,36.0,Donald Trump,REP,4505,True,36.747894445866535,-101.49005221250516
09/30/2021,40139,Texas County,OK,36.0,Joe Biden,DEM,894,False,36.747894445866535,-101.49005221250516
09/30/2021,13097,Douglas County,GA,26.5,Joe Biden,DEM,42814,True,33.70184254125166,-84.76795534667156
09/30/2021,13097,Douglas County,GA,26.5,Donald Trump,REP,25454,False,33.70184254125166,-84.76795534667156
09/30/2021,19011,Benton County,IA,51.3,Donald Trump,REP,9188,True,42.08018645568502,-92.06574296651894
09/30/2021,19011,Benton County,IA,51.3,Joe Biden,DEM,5160,False,42.08018645568502,-92.06574296651894
09/30/2021,12027,DeSoto County,FL,38.6,Donald Trump,REP,8313,True,27.18636318151619,-81.8095044842232
09/30/2021,12027,DeSoto County,FL,38.6,Joe Biden,DEM,4259,False,27.18636318151619,-81.8095044842232
09/30/2021,41065,Wasco County,OR,57.1,Donald Trump,REP,7035,True,45.16000791089999,-121.16784249786288
09/30/2021,41065,Wasco County,OR,57.1,Joe Biden,DEM,6604,False,45.16000791089999,-121.16784249786288
09/30/2021,56035,Sublette County,WY,27.4,Donald Trump,REP,3957,True,42.76689862520141,-109.91470973922468
09/30/2021,56035,Sublette County,WY,27.4,Joe Biden,DEM,882,False,42.76689862520141,-109.91470973922468
09/30/2021,42035,Clinton County,PA,38.4,Donald Trump,REP,11902,True,41.23405213838573,-77.63814618305348
09/30/2021,42035,Clinton County,PA,38.4,Joe Biden,DEM,5502,False,41.23405213838573,-77.63814618305348
