Date,FIPS,County,State,Vaccination_Complete_Pct,Metro_status,Social Vulnerability Index (SVI),SVI Category,lat,long
09/30/2021,13117,Forsyth County,GA,21.5,Metro,0.04,Very Low Concern,34.225543250240136,-84.12502041036171
09/30/2021,56007,Carbon County,WY,37.9,Non-metro,0.5,Moderate Concern,41.69435954761483,-106.9306670306716
09/30/2021,47173,Union County,TN,29.6,Metro,0.67,High Concern,36.28787239001951,-83.8375282531577
09/30/2021,20091,Johnson County,KS,63.7,Metro,0.06,Very Low Concern,38.88376637108757,-94.82231676678708
09/30/2021,20083,Hodgeman County,KS,40.1,Non-metro,0.11,Very Low Concern,38.08749316612595,-99.8979261293054
09/30/2021,29183,St. Charles County,MO,53.4,Metro,0.04,Very Low Concern,38.78192346199814,-90.6748753264728
09/30/2021,5025,Cleveland County,AR,45.6,Metro,0.56,Moderate Concern,33.89837312457409,-92.18518895706724
09/30/2021,20061,Geary County,KS,55.6,Non-metro,0.66,High Concern,39.00241626170008,-96.7525303867292
09/30/2021,31123,Morrill County,NE,30.6,Non-metro,0.42,Moderate Concern,41.71601483918396,-103.0106143450342
09/30/2021,29117,Livingston County,MO,38.6,Non-metro,0.37,Low Concern,39.78211352584426,-93.54825544671932
09/30/2021,51057,Essex County,VA,44.0,Non-metro,0.56,Moderate Concern,37.94340644854229,-76.95144012936174
09/30/2021,55055,Jefferson County,WI,50.1,Non-metro,0.19,Very Low Concern,43.02082846610267,-88.77588315426726
09/30/2021,27137,St. Louis County,MN,57.3,Metro,0.31,Low Concern,47.60315653765749,-92.47063162489904
09/30/2021,17193,White County,IL,40.3,Non-metro,0.54,Moderate Concern,38.08747726000744,-88.1795551880565
09/30/2021,32011,Eureka County,NV,22.9,Non-metro,0.07,Very Low Concern,39.98386155263351,-116.26858451880447
09/30/2021,35051,Sierra County,NM,46.7,Non-metro,0.91,Very High Concern,33.130495866748255,-107.19240696242152
09/30/2021,31065,Furnas County,NE,38.1,Non-metro,0.18,Very Low Concern,40.17644373250202,-99.91230950063614
09/30/2021,5081,Little River County,AR,26.1,Metro,0.63,High Concern,33.700511447751154,-94.23434658306978
09/30/2021,40053,Grant County,OK,36.7,Non-metro,0.16,Very Low Concern,36.79613980524573,-97.78613156087904
09/30/2021,35017,Grant County,NM,53.9,Non-metro,0.93,Very High Concern,32.73887360838214,-108.38240247886898
09/30/2021,36009,Cattaraugus County,NY,47.9,Non-metro,0.73,High Concern,42.24860036195381,-78.67884765289531
09/30/2021,40009,Beckham County,OK,35.8,Non-metro,0.71,High Concern,35.26872726378447,-99.68190502013334
09/30/2021,13141,Hancock County,GA,11.9,Non-metro,0.8,High Concern,33.27045137148866,-83.00067258771404
09/30/2021,30055,McCone County,MT,16.2,Non-metro,0.08,Very Low Concern,47.64521208510208,-105.79542537969031
09/30/2021,54043,Lincoln County,WV,16.4,Metro,0.61,High Concern,38.17534900782263,-82.07039115796006
09/30/2021,26049,Genesee County,MI,42.9,Metro,0.66,High Concern,43.02172072778064,-83.70670934605141
09/30/2021,38029,Emmons County,ND,29.2,Non-metro,0.1,Very Low Concern,46.28504329131061,-100.2387716892313
09/30/2021,35013,Dona Ana County,NM,53.4,Metro,0.98,Very High Concern,32.35264734068167,-106.8327815018138
09/30/2021,39061,Hamilton County,OH,54.1,Metro,0.54,Moderate Concern,39.19554056774955,-84.54277112809818
09/30/2021,21213,Simpson County,KY,45.9,Non-metro,0.29,Low Concern,36.74195035731288,-86.58224359116493
09/30/2021,18005,Bartholomew County,IN,52.5,Metro,0.36,Low Concern,39.20595128349802,-85.89759073009328
09/30/2021,29041,Chariton County,MO,33.2,Non-metro,0.19,Very Low Concern,39.5150912078637,-92.96263864445392
09/30/2021,47129,Morgan County,TN,43.4,Metro,0.75,High Concern,36.13500745088864,-84.64919797615337
09/30/2021,37035,Catawba County,NC,46.5,Metro,0.65,High Concern,35.66204222987132,-81.21507007166126
09/30/2021,19005,Allamakee County,IA,47.0,Non-metro,0.32,Low Concern,43.28428239914959,-91.378053325693
09/30/2021,19067,Floyd County,IA,47.6,Non-metro,0.36,Low Concern,43.0599326464129,-92.78900648463858
09/30/2021,25013,Hampden County,MA,55.7,Metro,0.82,Very High Concern,42.13508895524802,-72.63158231245839
09/30/2021,33015,Rockingham County,NH,58.6,Metro,0.01,Very Low Concern,42.98755540207753,-71.12536673387795
09/30/2021,37025,Cabarrus County,NC,45.9,Metro,0.42,Moderate Concern,35.38678658670812,-80.55186546381165
09/30/2021,17001,Adams County,IL,44.5,Non-metro,0.25,Low Concern,39.98787833459664,-91.18855698686085
09/30/2021,19047,Crawford County,IA,47.2,Non-metro,0.86,Very High Concern,42.03720374512621,-95.38198703127549
09/30/2021,13137,Habersham County,GA,17.2,Non-metro,0.71,High Concern,34.63102796897801,-83.53112369360295
09/30/2021,28055,Issaquena County,MS,32.0,Non-metro,0.95,Very High Concern,32.741409331119364,-90.98918634845204
09/30/2021,31169,Thayer County,NE,41.0,Non-metro,0.06,Very Low Concern,40.17623966489828,-97.5949502303654
09/30/2021,51620,Franklin city,VA,36.6,Non-metro,0.72,High Concern,36.68308444991232,-76.93861442912271
09/30/2021,18179,Wells County,IN,37.6,Metro,0.14,Very Low Concern,40.72918907332118,-85.22119400261002
09/30/2021,13067,Cobb County,GA,37.3,Metro,0.27,Low Concern,33.941481403689004,-84.57669231618759
09/30/2021,12035,Flagler County,FL,56.1,Metro,0.28,Low Concern,29.461424845918263,-81.31356839145538
09/30/2021,16005,Bannock County,ID,40.3,Metro,0.58,Moderate Concern,42.66848736883945,-112.2246106315902
09/30/2021,29071,Franklin County,MO,48.3,Metro,0.15,Very Low Concern,38.41111999690784,-91.0750308054533
09/30/2021,31057,Dundy County,NE,33.1,Non-metro,0.3,Low Concern,40.17620051868395,-101.68794739598594
09/30/2021,29031,Cape Girardeau County,MO,41.8,Metro,0.41,Moderate Concern,37.38402568640728,-89.68446694179315
09/30/2021,23025,Somerset County,ME,53.2,Non-metro,0.62,High Concern,45.5139092231878,-69.95890400955336
09/30/2021,38065,Oliver County,ND,21.7,Metro,0.21,Low Concern,47.11528606500725,-101.34038110013525
09/30/2021,27113,Pennington County,MN,43.9,Non-metro,0.3,Low Concern,48.06623220783754,-96.03669990648172
09/30/2021,40133,Seminole County,OK,44.8,Non-metro,0.93,Very High Concern,35.16748504370781,-96.61552018837044
09/30/2021,20077,Harper County,KS,40.9,Non-metro,0.32,Low Concern,37.19162258456055,-98.0754831271809
09/30/2021,56033,Sheridan County,WY,43.3,Non-metro,0.09,Very Low Concern,44.78997491384754,-106.87926852284484
09/30/2021,37153,Richmond County,NC,39.9,Non-metro,0.98,Very High Concern,35.00593921820018,-79.7478483233941
09/30/2021,28155,Webster County,MS,42.2,Non-metro,0.6,Moderate Concern,33.613100829452776,-89.28480254308549
09/30/2021,35001,Bernalillo County,NM,53.7,Metro,0.68,High Concern,35.051341272308875,-106.67016462788452
09/30/2021,54075,Pocahontas County,WV,23.7,Non-metro,0.5,Moderate Concern,38.331798617393865,-80.0077819962417
09/30/2021,37177,Tyrrell County,NC,39.8,Non-metro,0.88,Very High Concern,35.81720597863042,-76.20895098388705
09/30/2021,13229,Pierce County,GA,23.3,Non-metro,0.66,High Concern,31.35876960686481,-82.21276281112966
09/30/2021,47041,DeKalb County,TN,34.3,Non-metro,0.43,Moderate Concern,35.97985395094254,-85.83277649437524
09/30/2021,33007,Coos County,NH,55.5,Non-metro,0.53,Moderate Concern,44.689570261572,-71.30563479998192
09/30/2021,22035,East Carroll Parish,LA,38.6,Non-metro,0.94,Very High Concern,32.73255145491493,-91.23505403065262
09/30/2021,40069,Johnston County,OK,35.2,Non-metro,0.85,Very High Concern,34.316476808330684,-96.66066894263734
09/30/2021,51800,Suffolk city,VA,43.7,Metro,0.35,Low Concern,36.695318122407954,-76.63983900498263
09/30/2021,45043,Georgetown County,SC,48.1,Non-metro,0.68,High Concern,33.43429813424719,-79.33230240842632
09/30/2021,5033,Crawford County,AR,39.4,Metro,0.61,High Concern,35.58908630761966,-94.24282113342362
09/30/2021,31081,Hamilton County,NE,39.7,Metro,0.01,Very Low Concern,40.87302316716448,-98.02286284673283
09/30/2021,27033,Cottonwood County,MN,48.0,Non-metro,0.47,Moderate Concern,44.00712525823347,-95.18119514634762
09/30/2021,24035,Queen Anne's County,MD,58.6,Metro,0.02,Very Low Concern,39.06801418233741,-76.02027633327394
09/30/2021,28111,Perry County,MS,31.3,Metro,0.71,High Concern,31.17202413675867,-88.99233715525442
09/30/2021,35033,Mora County,NM,44.7,Non-metro,0.8,High Concern,36.01039817368948,-104.9448168772696
09/30/2021,36025,Delaware County,NY,50.7,Non-metro,0.63,High Concern,42.19806703499144,-74.96646739607937
09/30/2021,46067,Hutchinson County,SD,38.3,Non-metro,0.25,Low Concern,43.33486552474432,-97.75442346871816
09/30/2021,13283,Treutlen County,GA,13.9,Non-metro,0.95,Very High Concern,32.403874795903945,-82.56728819880553
09/30/2021,39029,Columbiana County,OH,42.7,Non-metro,0.49,Moderate Concern,40.768425136722605,-80.77719635775082
09/30/2021,17163,St. Clair County,IL,48.9,Metro,0.52,Moderate Concern,38.47033002908368,-89.92838112467138
09/30/2021,51053,Dinwiddie County,VA,43.0,Metro,0.42,Moderate Concern,37.07593861422707,-77.63226901458785
09/30/2021,27011,Big Stone County,MN,57.2,Non-metro,0.2,Low Concern,45.42610194671305,-96.41094242158476
09/30/2021,40139,Texas County,OK,36.0,Non-metro,0.82,Very High Concern,36.747894445866535,-101.49005221250516
09/30/2021,13097,Douglas County,GA,26.5,Metro,0.54,Moderate Concern,33.70184254125166,-84.76795534667156
09/30/2021,50011,Franklin County,VT,31.7,Metro,0.11,Very Low Concern,44.85749429076907,-72.9120054477601
09/30/2021,19011,Benton County,IA,51.3,Metro,0.01,Very Low Concern,42.08018645568502,-92.06574296651894
09/30/2021,12027,DeSoto County,FL,38.6,Non-metro,0.96,Very High Concern,27.18636318151619,-81.8095044842232
09/30/2021,41065,Wasco County,OR,57.1,Non-metro,0.84,Very High Concern,45.16000791089999,-121.16784249786288
09/30/2021,56035,Sublette County,WY,27.4,Non-metro,0.03,Very Low Concern,42.76689862520141,-109.91470973922468
09/30/2021,42035,Clinton County,PA,38.4,Non-metro,0.49,Moderate Concern,41.23405213838573,-77.63814618305348
09/30/2021,36051,Livingston County,NY,52.6,Metro,0.34,Low Concern,42.7280629366333,-77.77549402183548
09/30/2021,26013,Baraga County,MI,50.8,Non-metro,0.66,High Concern,46.66262050098693,-88.3651856167333
09/30/2021,1113,Russell County,AL,31.9,Metro,0.91,Very High Concern,32.28839324253349,-85.18492486749624
09/30/2021,30065,Musselshell County,MT,30.1,Non-metro,0.36,Low Concern,46.49658446284418,-108.39810483962864
09/30/2021,38015,Burleigh County,ND,40.8,Metro,0.17,Very Low Concern,46.9773799687845,-100.46873765573343
09/30/2021,8055,Huerfano County,CO,47.6,Non-metro,0.6,Moderate Concern,37.68467850964496,-104.96061132482524
09/30/2021,46097,Miner County,SD,45.3,Non-metro,0.11,Very Low Concern,44.02195241363735,-97.61019616770017
09/30/2021,46125,Turner County,SD,35.5,Metro,0.11,Very Low Concern,43.31089407750368,-97.14867176736249
09/30/2021,12053,Hernando County,FL,47.5,Metro,0.55,Moderate Concern,28.553631869514188,-82.4250382875201
09/30/2021,21189,Owsley County,KY,39.0,Non-metro,0.84,Very High Concern,37.419199638938686,-83.68309732468298
09/30/2021,51193,Westmoreland County,VA,42.9,Non-metro,0.29,Low Concern,38.11193560773864,-76.80417125728823
09/30/2021,46025,Clark County,SD,44.6,Non-metro,0.17,Very Low Concern,44.85824066176757,-97.72950099021674
09/30/2021,6037,Los Angeles County,CA,59.6,Metro,0.77,High Concern,34.3207429592211,-118.22480998416322
09/30/2021,20045,Douglas County,KS,53.4,Metro,0.22,Low Concern,38.88466799093863,-95.29259106013194
09/30/2021,51660,Harrisonburg city,VA,37.3,Metro,0.79,High Concern,38.436205248273566,-78.87345309974245
09/30/2021,35023,Hidalgo County,NM,42.7,Non-metro,0.96,Very High Concern,31.914038052854487,-108.71477735549637
09/30/2021,37091,Hertford County,NC,28.6,Non-metro,0.99,Very High Concern,36.35906558693845,-76.98200271120339
09/30/2021,18151,Steuben County,IN,42.8,Non-metro,0.27,Low Concern,41.64389192707598,-85.00085915878145
09/30/2021,29095,Jackson County,MO,47.0,Metro,0.54,Moderate Concern,39.0084734454814,-94.3461347549314
09/30/2021,26113,Missaukee County,MI,40.6,Non-metro,0.48,Moderate Concern,44.33738905979475,-85.09472247755562
09/30/2021,8103,Rio Blanco County,CO,33.2,Non-metro,0.34,Low Concern,39.97985127800352,-108.21705233028338
09/30/2021,13209,Montgomery County,GA,20.4,Non-metro,0.85,Very High Concern,32.173393679756025,-82.53477357833202
09/30/2021,20195,Trego County,KS,35.3,Non-metro,0.04,Very Low Concern,38.91430950887512,-99.87283476983828
09/30/2021,55127,Walworth County,WI,47.0,Non-metro,0.27,Low Concern,42.6684910934722,-88.54193618063775
09/30/2021,21037,Campbell County,KY,65.3,Metro,0.22,Low Concern,38.94651468787944,-84.37951741018956
09/30/2021,29059,Dallas County,MO,31.4,Metro,0.7,High Concern,37.680419790179656,-93.02367036805022
09/30/2021,13149,Heard County,GA,12.1,Metro,0.72,High Concern,33.2970394184972,-85.12833608227382
09/30/2021,13043,Candler County,GA,17.8,Non-metro,0.98,Very High Concern,32.403441866832,-82.07366026690293
09/30/2021,28125,Sharkey County,MS,47.7,Non-metro,0.97,Very High Concern,32.879871099666,-90.81315445470962
09/30/2021,5003,Ashley County,AR,43.2,Non-metro,0.86,Very High Concern,33.19121135472734,-91.7684577361982
09/30/2021,13241,Rabun County,GA,25.2,Non-metro,0.53,Moderate Concern,34.88173555762309,-83.40208021933655
09/30/2021,22091,St. Helena Parish,LA,26.6,Metro,0.9,Very High Concern,30.821990180022983,-90.71034058499494
09/30/2021,30011,Carter County,MT,26.3,Non-metro,0.05,Very Low Concern,45.51679033890567,-104.5361595283471
09/30/2021,40051,Grady County,OK,32.4,Metro,0.31,Low Concern,35.01694167808249,-97.88411647719104
09/30/2021,51685,Manassas Park city,VA,41.5,Metro,0.53,Moderate Concern,38.77183472009013,-77.44499004855771
09/30/2021,6021,Glenn County,CA,45.4,Non-metro,0.89,Very High Concern,39.59820149120442,-122.39199901384109
09/30/2021,23015,Lincoln County,ME,71.1,Non-metro,0.11,Very Low Concern,44.06638252607703,-69.54350467475393
09/30/2021,29007,Audrain County,MO,32.7,Non-metro,0.62,High Concern,39.2157364196249,-91.84156315344208
09/30/2021,5037,Cross County,AR,44.4,Non-metro,0.7,High Concern,35.295715218539506,-90.77121408620285
09/30/2021,20047,Edwards County,KS,41.7,Non-metro,0.37,Low Concern,37.88761460784311,-99.31215710458548
09/30/2021,25007,Dukes County,MA,3.6,Non-metro,0.01,Very Low Concern,41.39608468988456,-70.65008761552195
09/30/2021,37095,Hyde County,NC,56.3,Non-metro,0.86,Very High Concern,35.530487162231786,-76.25080937261617
09/30/2021,13127,Glynn County,GA,43.2,Metro,0.72,High Concern,31.230896488306307,-81.54071676718564
09/30/2021,33009,Grafton County,NH,66.8,Non-metro,0.19,Very Low Concern,43.94066039232836,-71.8207475995904
09/30/2021,46105,Perkins County,SD,23.3,Non-metro,0.11,Very Low Concern,45.49046757123247,-102.47569308928811
09/30/2021,19033,Cerro Gordo County,IA,56.0,Non-metro,0.25,Low Concern,43.08155752775132,-93.2608136360143
09/30/2021,13177,Lee County,GA,16.4,Metro,0.35,Low Concern,31.77955418319694,-84.14116010178077
09/30/2021,38073,Ransom County,ND,52.5,Non-metro,0.09,Very Low Concern,46.45616096567882,-97.6574645047116
09/30/2021,36013,Chautauqua County,NY,50.7,Non-metro,0.72,High Concern,42.22816489748384,-79.3663426488305
09/30/2021,26145,Saginaw County,MI,45.8,Metro,0.7,High Concern,43.335042041673496,-84.05316962608013
09/30/2021,18121,Parke County,IN,35.5,Non-metro,0.58,Moderate Concern,39.77363464069859,-87.20637911496482
09/30/2021,31009,Blaine County,NE,21.9,Non-metro,0.09,Very Low Concern,41.912779490812966,-99.9768259585208
09/30/2021,31129,Nuckolls County,NE,44.7,Non-metro,0.17,Very Low Concern,40.176389236244965,-98.04718735246178
09/30/2021,21139,Livingston County,KY,42.5,Non-metro,0.26,Low Concern,37.20962301819127,-88.35372060298634
09/30/2021,37127,Nash County,NC,48.6,Metro,0.83,Very High Concern,35.9672509498476,-77.98643325785984
09/30/2021,5067,Jackson County,AR,33.0,Non-metro,0.76,High Concern,35.59922211078086,-91.21456610285112
09/30/2021,51141,Patrick County,VA,35.2,Non-metro,0.64,High Concern,36.678312067420165,-80.2843951780795
09/30/2021,16083,Twin Falls County,ID,37.6,Non-metro,0.5,Moderate Concern,42.35596961880623,-114.66715073308558
09/30/2021,1009,Blount County,AL,26.1,Metro,0.42,Moderate Concern,33.98086883066284,-86.56738039931867
09/30/2021,27173,Yellow Medicine County,MN,48.9,Non-metro,0.33,Low Concern,44.71624862277437,-95.86836213585332
09/30/2021,40123,Pontotoc County,OK,44.6,Non-metro,0.65,High Concern,34.72800220220036,-96.68445230605276
09/30/2021,21011,Bath County,KY,47.4,Non-metro,0.73,High Concern,38.144952166305785,-83.74267657495382
09/30/2021,17079,Jasper County,IL,31.1,Non-metro,0.24,Low Concern,39.01006378639527,-88.15384992138468
09/30/2021,20149,Pottawatomie County,KS,33.9,Metro,0.15,Very Low Concern,39.37900505304808,-96.3423718321073
09/30/2021,24001,Allegany County,MD,47.7,Metro,0.62,High Concern,39.621450400025545,-78.69761748858407
09/30/2021,51117,Mecklenburg County,VA,39.8,Non-metro,0.78,High Concern,36.68035567515906,-78.3627450706829
09/30/2021,51171,Shenandoah County,VA,43.6,Non-metro,0.36,Low Concern,38.858327979737226,-78.5708391705724
09/30/2021,47119,Maury County,TN,54.6,Metro,0.39,Low Concern,35.61694023842606,-87.07702168185236
09/30/2021,55005,Barron County,WI,47.0,Non-metro,0.33,Low Concern,45.42368241495916,-91.84830960594763
09/30/2021,41049,Morrow County,OR,45.6,Non-metro,0.76,High Concern,45.41893917541306,-119.58436174013674
09/30/2021,26097,Mackinac County,MI,65.6,Non-metro,0.65,High Concern,46.080225835273865,-85.08684537671387
09/30/2021,51810,Virginia Beach city,VA,50.3,Metro,0.19,Very Low Concern,36.73353798092837,-76.04348547860994
09/30/2021,46127,Union County,SD,43.6,Metro,0.03,Very Low Concern,42.83257500528647,-96.65602661628404
09/30/2021,37005,Alleghany County,NC,49.1,Non-metro,0.63,High Concern,36.4912936538848,-81.12790929673821
09/30/2021,37075,Graham County,NC,41.2,Non-metro,0.63,High Concern,35.350167472177745,-83.83348116242199
09/30/2021,37001,Alamance County,NC,49.0,Metro,0.78,High Concern,36.04373147445875,-79.3994402339366
09/30/2021,31177,Washington County,NE,48.8,Metro,0.04,Very Low Concern,41.53106394858523,-96.22200507171702
09/30/2021,35019,Guadalupe County,NM,31.7,Non-metro,0.95,Very High Concern,34.86330572264929,-104.79065638542852
09/30/2021,17113,McLean County,IL,51.3,Metro,0.19,Very Low Concern,40.49087526607274,-88.84732725314582
09/30/2021,53001,Adams County,WA,47.1,Non-metro,0.96,Very High Concern,46.983382336220274,-118.56058043313998
09/30/2021,38033,Golden Valley County,ND,24.4,Non-metro,0.09,Very Low Concern,46.9402968875561,-103.8466232442407
09/30/2021,26099,Macomb County,MI,49.6,Metro,0.33,Low Concern,42.69553684973193,-82.93225129743344
09/30/2021,20051,Ellis County,KS,42.5,Non-metro,0.16,Very Low Concern,38.91473313030484,-99.31726625504808
09/30/2021,20191,Sumner County,KS,36.7,Metro,0.22,Low Concern,37.23731237107008,-97.4765427738525
09/30/2021,47043,Dickson County,TN,40.1,Metro,0.43,Moderate Concern,36.14903545779286,-87.35666316629822
09/30/2021,8011,Bent County,CO,21.7,Non-metro,0.9,Very High Concern,37.955075948238985,-103.0717096507405
09/30/2021,18097,Marion County,IN,48.7,Metro,0.8,High Concern,39.781711193617234,-86.1384702727316
09/30/2021,27041,Douglas County,MN,49.7,Non-metro,0.04,Very Low Concern,45.93372358444517,-95.4535282765788
09/30/2021,13075,Cook County,GA,33.8,Non-metro,0.85,Very High Concern,31.15399291233004,-83.43046305152593
09/30/2021,20127,Morris County,KS,49.0,Non-metro,0.24,Low Concern,38.68741557855644,-96.64990012159818
09/30/2021,21075,Fulton County,KY,48.7,Non-metro,0.87,Very High Concern,36.55404202803442,-89.18736232078571
09/30/2021,23023,Sagadahoc County,ME,68.3,Metro,0.05,Very Low Concern,43.959771984580456,-69.85456646123323
09/30/2021,42045,Delaware County,PA,63.1,Metro,0.41,Moderate Concern,39.91669081473589,-75.39906782374089
09/30/2021,56029,Park County,WY,39.4,Non-metro,0.07,Very Low Concern,44.52046482373373,-109.58792137399776
09/30/2021,20001,Allen County,KS,38.7,Non-metro,0.4,Low Concern,37.88572095021543,-95.30135940483048
09/30/2021,28023,Clarke County,MS,47.4,Non-metro,0.67,High Concern,32.04138036314805,-88.68942929547545
09/30/2021,27127,Redwood County,MN,45.5,Non-metro,0.23,Low Concern,44.40366443347752,-95.25383934432676
09/30/2021,27071,Koochiching County,MN,51.6,Non-metro,0.44,Moderate Concern,48.2453014152988,-93.7833350749478
09/30/2021,51131,Northampton County,VA,63.1,Non-metro,0.68,High Concern,37.34298527470178,-75.87697256101862
09/30/2021,5031,Craighead County,AR,37.0,Metro,0.8,Very High Concern,35.830780591727,-90.63283975822226
09/30/2021,56009,Converse County,WY,27.6,Non-metro,0.2,Low Concern,42.97233569012719,-105.50715798405226
09/30/2021,28147,Walthall County,MS,34.4,Non-metro,0.86,Very High Concern,31.148421888264465,-90.10613780596503
09/30/2021,36041,Hamilton County,NY,77.7,Non-metro,0.39,Low Concern,43.6611279980196,-74.49737532012566
09/30/2021,17197,Will County,IL,52.8,Metro,0.2,Low Concern,41.44504270382514,-87.97864242148339
09/30/2021,56023,Lincoln County,WY,33.4,Non-metro,0.08,Very Low Concern,42.26391239630535,-110.65599168299325
09/30/2021,46115,Spink County,SD,36.0,Non-metro,0.18,Very Low Concern,44.938023696313344,-98.34620254304656
09/30/2021,2282,Yakutat City and Borough,AK,69.1,Non-metro,0.59,Moderate Concern,59.8888952260802,-140.3576872639421
09/30/2021,32009,Esmeralda County,NV,35.3,Non-metro,0.64,High Concern,37.78465844446264,-117.63231124433098
09/30/2021,18133,Putnam County,IN,37.9,Metro,0.35,Low Concern,39.66628078271651,-86.844995992361
09/30/2021,55079,Milwaukee County,WI,54.0,Metro,0.81,Very High Concern,43.00719656824836,-87.96677179509463
09/30/2021,18083,Knox County,IN,44.7,Non-metro,0.59,Moderate Concern,38.6890699422532,-87.4180246740044
09/30/2021,28103,Noxubee County,MS,48.3,Non-metro,0.99,Very High Concern,33.11015679275493,-88.56975390882482
09/30/2021,9009,New Haven County,CT,67.4,Metro,0.52,Moderate Concern,41.41047804821459,-72.93207761888479
09/30/2021,47073,Hawkins County,TN,38.0,Metro,0.71,High Concern,36.44117867815531,-82.9446703827247
09/30/2021,13211,Morgan County,GA,21.9,Metro,0.24,Low Concern,33.59080330045103,-83.49237353017767
09/30/2021,40027,Cleveland County,OK,45.7,Metro,0.34,Low Concern,35.20304365444553,-97.32641881238268
09/30/2021,37137,Pamlico County,NC,48.6,Metro,0.72,High Concern,35.143450189699564,-76.7406980434452
09/30/2021,36039,Greene County,NY,54.5,Non-metro,0.42,Moderate Concern,42.27651367106724,-74.12272098144103
09/30/2021,19173,Taylor County,IA,41.9,Non-metro,0.28,Low Concern,40.73739708798839,-94.69642274171764
09/30/2021,42117,Tioga County,PA,38.5,Non-metro,0.32,Low Concern,41.77217214011954,-77.25426618766464
09/30/2021,47083,Houston County,TN,34.6,Non-metro,0.56,Moderate Concern,36.2859798251025,-87.71707350375111
09/30/2021,8107,Routt County,CO,67.0,Non-metro,0.06,Very Low Concern,40.48514360967252,-106.99125344979768
09/30/2021,19045,Clinton County,IA,48.0,Non-metro,0.26,Low Concern,41.89802867609232,-90.53196563427734
09/30/2021,55023,Crawford County,WI,51.0,Non-metro,0.4,Low Concern,43.239470403569655,-90.93104339108773
09/30/2021,28049,Hinds County,MS,49.6,Metro,0.87,Very High Concern,32.2667004262344,-90.44284956122192
09/30/2021,25017,Middlesex County,MA,69.1,Metro,0.23,Low Concern,42.4855745716803,-71.3917984102626
09/30/2021,31041,Custer County,NE,33.3,Non-metro,0.18,Very Low Concern,41.3942786171931,-99.72615089265052
09/30/2021,49009,Daggett County,UT,50.2,Non-metro,0.08,Very Low Concern,40.88727380439289,-109.50763406123885
09/30/2021,35029,Luna County,NM,54.4,Non-metro,1.0,Very High Concern,32.182226457684955,-107.74980809748074
09/30/2021,21073,Franklin County,KY,68.8,Non-metro,0.55,Moderate Concern,38.23915253806735,-84.87706177250064
09/30/2021,29081,Harrison County,MO,29.3,Non-metro,0.74,High Concern,40.35466918144411,-93.9920403258522
09/30/2021,39057,Greene County,OH,55.9,Metro,0.21,Low Concern,39.69146532092179,-83.88989053240473
09/30/2021,36045,Jefferson County,NY,60.0,Metro,0.65,High Concern,44.04944181046502,-75.92097941040157
09/30/2021,28045,Hancock County,MS,34.1,Metro,0.59,Moderate Concern,30.416006181692783,-89.48851198756381
09/30/2021,42115,Susquehanna County,PA,41.6,Non-metro,0.21,Low Concern,41.82137626214568,-75.80070291919532
