Date,fips,covid_vaccine_rate
10/03/2021,20125,39.2
10/03/2021,01047,36.1
10/03/2021,13231,13.4
10/03/2021,48095,0.0
10/03/2021,51165,40.3
10/03/2021,37095,56.6
10/03/2021,21055,34.9
10/03/2021,40105,35.1
10/03/2021,29221,27.2
10/03/2021,05103,47.0
10/03/2021,08077,42.8
10/03/2021,13193,17.3
10/03/2021,17149,34.6
10/03/2021,46115,36.0
10/03/2021,25011,59.2
10/03/2021,40025,25.2
10/03/2021,18001,30.1
10/03/2021,22021,33.2
10/03/2021,24045,48.7
10/03/2021,26093,52.8
10/03/2021,09007,74.6
10/03/2021,21231,35.1
10/03/2021,55079,54.3
10/03/2021,37171,42.9
10/03/2021,19085,46.1
10/03/2021,29153,27.2
10/03/2021,30027,40.7
10/03/2021,47069,38.9
10/03/2021,13267,13.0
10/03/2021,16049,25.4
10/03/2021,01121,31.6
10/03/2021,20179,31.7
10/03/2021,42069,64.8
10/03/2021,47101,31.0
10/03/2021,48265,0.0
10/03/2021,51191,50.8
10/03/2021,17005,44.4
10/03/2021,18097,48.9
10/03/2021,39093,55.1
10/03/2021,18099,39.9
10/03/2021,46103,40.2
10/03/2021,51740,78.9
10/03/2021,40103,53.8
10/03/2021,19103,64.0
10/03/2021,28115,36.4
10/03/2021,30007,28.3
10/03/2021,48465,0.0
10/03/2021,40047,42.0
10/03/2021,48441,0.0
10/03/2021,39085,57.6
10/03/2021,20043,42.0
10/03/2021,05105,46.3
10/03/2021,26105,53.3
10/03/2021,20003,37.4
10/03/2021,17107,41.8
10/03/2021,31179,36.4
10/03/2021,55083,46.9
10/03/2021,48127,0.0
10/03/2021,40023,28.1
10/03/2021,72081,80.5
10/03/2021,72065,60.2
10/03/2021,28087,43.4
10/03/2021,22083,37.6
10/03/2021,02013,68.3
10/03/2021,13167,13.7
10/03/2021,45025,31.1
10/03/2021,51683,46.4
10/03/2021,55121,57.2
10/03/2021,26145,46.0
10/03/2021,53033,69.2
10/03/2021,55141,53.7
10/03/2021,19161,47.0
10/03/2021,20053,49.0
10/03/2021,51093,44.7
10/03/2021,40121,38.1
10/03/2021,22017,41.0
10/03/2021,48299,0.0
10/03/2021,22057,38.6
10/03/2021,45049,54.6
10/03/2021,01091,47.2
10/03/2021,16001,50.5
10/03/2021,19041,46.6
10/03/2021,42023,51.9
10/03/2021,17179,50.0
10/03/2021,20025,41.7
10/03/2021,48393,0.0
10/03/2021,31153,54.5
10/03/2021,19029,52.4
10/03/2021,13111,19.6
10/03/2021,17109,39.6
